date,open,high,low,close,amount_yi,pe
2015-01-01,5893.91,5893.91,5720.36,5837.31,167.57,
2015-01-05,5893.91,5893.91,5720.36,5837.31,167.57,
2015-01-06,5808.45,6047.1,5774.46,6043.24,203.11,
2015-01-07,6033.77,6057.43,5971.21,6038.85,176.58,
2015-01-08,6011.62,6143.27,6011.62,6088.04,172.21,
2015-01-09,6074.4,6259.74,6074.4,6138.88,204.46,
2015-01-12,6113.97,6280.64,6113.97,6271.08,191.09,
2015-01-13,6289.06,6560.27,6272.29,6528.48,292.5,
2015-01-14,6525.68,6543.08,6449.15,6475.48,221.91,
2015-01-15,6443.83,6540.38,6423.16,6448.94,166.04,
2015-01-16,6430.9,6771.23,6430.9,6771.23,290.95,
2015-01-19,6597.47,6952.49,6556.67,6686.43,360.07,
2015-01-20,6716.21,7088.91,6716.21,7088.91,395.17,
2015-01-21,7120.54,7137.54,7043.12,7130.23,371.35,
2015-01-22,7101.01,7176.53,7085.34,7174.44,300.26,
2015-01-23,7175.1,7175.1,6954.11,6963.88,289.62,
2015-01-26,7005.42,7209.59,7005.42,7208.17,278.7,
2015-01-27,7220.54,7303.0,7176.48,7293.15,299.2,
2015-01-28,7277.45,7373.45,7199.66,7219.02,286.65,
2015-01-29,7151.29,7253.04,7151.29,7203.6,218.37,
2015-01-30,7223.05,7224.96,6978.69,6983.41,244.45,
2015-02-02,6922.0,7138.41,6922.0,7101.84,199.18,
2015-02-03,7132.24,7468.66,7132.24,7392.4,329.53,
2015-02-04,7408.58,7492.7,7406.92,7445.33,290.75,
2015-02-05,7445.94,7774.99,7420.19,7601.36,422.28,
2015-02-06,7608.82,7641.32,7377.88,7401.03,309.25,
2015-02-09,7392.44,7544.08,7322.54,7348.91,247.24,
2015-02-10,7354.03,7556.93,7286.27,7556.93,300.89,
2015-02-11,7570.44,7833.15,7570.44,7804.45,359.51,
2015-02-12,7848.74,7910.09,7829.13,7841.13,393.88,
2015-02-13,7897.73,7975.07,7839.57,7927.48,378.85,
2015-02-16,7958.54,8281.74,7958.54,8281.74,438.32,
2015-02-17,8335.36,8335.36,8180.23,8313.69,346.1,
2015-02-25,8354.05,8364.25,8085.35,8118.45,323.01,
2015-02-26,8110.23,8173.39,7945.22,8149.99,323.52,
2015-02-27,8139.57,8306.39,8102.47,8306.39,338.62,
2015-03-02,8316.22,8630.33,8280.61,8607.4,477.2,
2015-03-03,8582.77,8649.7,8470.55,8476.82,470.24,
2015-03-04,8485.48,8621.52,8485.48,8621.52,390.23,
2015-03-05,8648.29,8655.56,8534.19,8588.34,393.95,
2015-03-06,8585.58,8598.79,8320.53,8341.28,321.6,
2015-03-09,8301.47,8539.01,8301.47,8539.01,301.76,
2015-03-10,8560.89,8707.99,8560.89,8686.66,305.05,
2015-03-11,8720.99,8720.99,8638.76,8682.43,315.28,
2015-03-12,8723.31,8770.13,8550.42,8673.33,362.13,
2015-03-13,8695.11,8979.3,8695.11,8979.3,375.3,
2015-03-16,9096.78,9460.84,9096.78,9452.65,563.29,
2015-03-17,9529.77,9543.78,9372.53,9489.42,564.09,
2015-03-18,9416.55,9708.69,9378.21,9689.28,555.88,
2015-03-19,9694.0,9797.59,9643.89,9797.59,521.06,
2015-03-20,9816.03,10209.42,9816.03,10120.15,594.38,
2015-03-23,10275.53,10706.92,10275.53,10706.92,656.85,
2015-03-24,10833.23,11151.91,10578.74,11131.47,800.42,
2015-03-25,11177.66,11451.7,11175.55,11214.59,712.68,
2015-03-26,11110.54,11153.86,10591.64,10666.92,741.88,
2015-03-27,10547.33,10839.86,10493.48,10819.04,539.17,
2015-03-30,10780.77,10826.9,10430.82,10548.12,564.61,
2015-03-31,10513.67,10872.45,10513.67,10791.58,575.22,
2015-04-01,10799.29,11167.68,10799.29,11158.57,550.65,
2015-04-02,11272.31,11442.74,11255.56,11442.74,602.43,
2015-04-03,11397.59,11615.83,11397.59,11605.18,554.92,
2015-04-07,11717.58,11865.71,11717.58,11865.71,659.84,
2015-04-08,11919.66,11919.66,11383.85,11615.57,680.52,
2015-04-09,11575.48,11652.27,10913.73,11652.27,611.09,
2015-04-10,11539.97,12010.36,11539.97,11927.41,563.31,
2015-04-13,11942.14,12222.24,11893.83,12157.13,623.26,
2015-04-14,12140.77,12140.8,11980.8,12027.41,568.02,
2015-04-15,11945.82,11945.82,11338.11,11339.39,494.24,
2015-04-16,11167.3,11660.65,11167.3,11482.03,458.03,
2015-04-17,11502.75,11507.23,11318.67,11407.91,472.88,
2015-04-20,11353.51,11391.61,11050.88,11108.11,466.07,
2015-04-21,11110.62,11724.53,11110.62,11724.53,569.59,
2015-04-22,11838.01,12119.96,11838.01,12058.43,628.13,
2015-04-23,12136.47,12188.33,12038.46,12129.74,570.74,
2015-04-24,11984.92,12280.59,11968.31,12280.59,670.06,
2015-04-27,12463.44,12548.92,12268.38,12316.1,624.09,
2015-04-28,12294.36,12294.36,11712.75,11801.65,610.11,
2015-04-29,11723.75,12210.03,11723.75,12210.03,549.42,
2015-04-30,12288.31,12760.28,12288.31,12536.53,715.02,
2015-05-04,12526.0,12526.0,12218.78,12418.81,539.24,
2015-05-05,12347.34,12362.21,11995.06,12074.34,499.98,
2015-05-06,12132.15,12693.75,12132.15,12399.86,689.1,
2015-05-07,12311.02,12586.58,12311.02,12416.29,570.05,
2015-05-08,12547.74,13326.39,12547.74,13326.39,810.18,
2015-05-11,13607.57,14225.25,13607.57,14207.18,929.65,
2015-05-12,14415.33,14688.32,14193.5,14654.57,1048.58,
