date,open,high,low,close,amount_yi,pe
2015-01-01,,,,4303.78,118.79,
2018-12-28,,,,4303.78,118.79,
2019-02-22,,,,5444.67,345.81,25.44
2019-02-25,,,,5750.86,445.59,26.96
2019-02-26,,,,5618.35,478.18,26.5
2019-02-27,,,,5558.34,350.24,26.2
2019-02-28,,,,5580.04,256.27,26.36
2019-03-01,,,,5590.19,234.12,26.4
2019-03-04,,,,5708.96,388.87,27.0
2019-03-05,,,,5936.09,382.6,27.74
2019-03-06,,,,6020.2,451.66,28.82
2019-03-07,,,,6010.37,431.74,29.2
2019-03-08,,,,5853.94,436.9,27.87
2019-03-11,,,,6077.03,381.42,28.88
2019-03-12,,,,6170.3,458.25,29.03
2019-03-13,,,,5881.56,410.45,27.68
2019-03-14,,,,5737.59,287.91,26.93
2019-03-15,,,,5715.33,213.36,26.89
2019-03-18,,,,5851.29,222.78,27.55
2019-03-19,,,,5858.16,239.64,27.62
2019-03-20,,,,5809.2,198.15,27.35
2019-03-21,,,,5864.3,238.95,27.68
2019-03-22,,,,5844.13,217.5,27.5
2019-03-25,,,,5837.93,253.11,27.2
2019-03-26,,,,5612.0,238.71,26.23
2019-03-27,,,,5580.53,198.44,26.17
2019-03-28,,,,5673.6,308.18,26.34
2019-03-29,,,,5759.51,292.78,26.92
2019-04-01,,,,5992.51,354.35,28.09
2019-04-02,,,,6011.5,384.15,28.44
2019-04-03,,,,6010.88,264.37,28.44
2019-04-04,,,,6003.79,247.64,28.26
2019-04-08,,,,5853.37,240.01,27.68
2019-04-09,,,,5984.23,245.01,28.4
2019-04-10,,,,6029.16,279.62,28.27
2019-04-11,,,,5864.86,224.34,27.63
2019-04-12,,,,5841.71,149.68,27.59
2019-04-15,,,,5853.72,213.12,27.54
2019-04-16,,,,6201.24,386.73,29.0
2019-04-17,,,,6222.59,407.87,29.93
2019-04-18,,,,6312.79,443.56,31.16
2019-04-19,,,,6399.53,423.88,30.34
2019-04-22,,,,6366.29,450.73,29.72
2019-04-23,,,,6156.76,331.22,29.15
2019-04-24,,,,6231.66,275.95,29.26
2019-04-25,,,,5970.36,296.92,27.98
2019-04-26,,,,5963.05,230.94,27.82
2019-04-29,,,,5679.86,252.81,26.52
2019-04-30,,,,5636.36,198.5,26.5
2019-05-06,,,,5098.69,204.25,25.69
2019-05-07,,,,5097.78,187.44,25.89
2019-05-08,,,,5070.46,162.88,25.67
2019-05-09,,,,5011.08,134.58,25.41
2019-05-10,,,,5294.74,244.07,26.59
2019-05-13,,,,5183.85,188.5,26.0
2019-05-14,,,,5169.25,203.85,25.78
2019-05-15,,,,5265.98,193.31,26.24
2019-05-16,,,,5223.4,207.52,26.03
2019-05-17,,,,5063.6,217.07,25.08
2019-05-20,,,,5115.86,209.06,25.37
2019-05-21,,,,5244.99,227.29,25.96
2019-05-22,,,,5317.98,269.48,26.13
2019-05-23,,,,5126.62,239.07,25.34
2019-05-24,,,,5017.8,161.7,24.92
2019-05-27,,,,5204.54,194.28,25.8
2019-05-28,,,,5191.81,191.56,25.78
2019-05-29,,,,5196.6,153.3,25.93
2019-05-30,,,,5110.28,157.61,25.62
2019-05-31,,,,5143.42,157.46,25.86
2019-06-03,,,,5207.08,239.16,25.78
2019-06-04,,,,5205.89,262.92,25.62
2019-06-05,,,,5291.12,238.26,25.81
2019-06-06,5262.7,5262.7,5015.57,5042.5,204.49,24.91
2019-06-10,5028.52,5177.21,5028.52,5143.57,190.72,24.54
