date,open,high,low,close,amount_yi,pe
2015-01-01,,,,997.89,110.4,
2015-01-05,,,,997.89,110.4,
2015-01-06,,,,1039.4,129.99,
2015-01-07,,,,1034.14,109.67,
2015-01-08,,,,1040.61,109.25,
2015-01-09,,,,1050.74,135.97,
2015-01-12,,,,1068.81,120.86,
2015-01-13,,,,1111.16,184.55,
2015-01-14,,,,1094.66,130.37,
2015-01-15,,,,1087.73,101.02,
2015-01-16,,,,1134.13,157.35,
2015-01-19,,,,1130.77,210.2,
2015-01-20,,,,1201.61,244.76,
2015-01-21,,,,1213.7,223.96,
2015-01-22,,,,1238.25,194.17,
2015-01-23,,,,1203.88,194.03,
2015-01-26,,,,1234.18,169.2,
2015-01-27,,,,1247.57,185.78,
2015-01-28,,,,1238.41,183.23,
2015-01-29,,,,1232.93,129.87,
2015-01-30,,,,1192.44,155.98,
2015-02-02,,,,1209.49,122.56,
2015-02-03,,,,1249.3,177.8,
2015-02-04,,,,1251.14,153.57,
2015-02-05,,,,1261.42,207.32,
2015-02-06,,,,1232.26,154.22,
2015-02-09,,,,1214.83,137.42,
2015-02-10,,,,1255.94,126.15,
2015-02-11,,,,1289.69,165.24,
2015-02-12,,,,1297.97,159.82,
2015-02-13,,,,1313.32,177.35,
2015-02-16,,,,1372.51,222.66,
2015-02-17,,,,1366.18,156.04,
2015-02-25,,,,1341.02,143.06,
2015-02-26,,,,1345.73,143.68,
2015-02-27,,,,1372.22,181.72,
2015-03-02,,,,1402.71,228.98,
2015-03-03,,,,1379.78,243.53,
2015-03-04,,,,1423.53,190.62,
2015-03-05,,,,1422.97,205.11,
2015-03-06,,,,1375.51,169.65,
2015-03-09,,,,1403.88,155.11,
2015-03-10,,,,1423.99,196.39,
2015-03-11,,,,1417.06,172.87,
2015-03-12,,,,1396.94,156.58,
2015-03-13,,,,1436.94,160.08,
2015-03-16,,,,1494.13,253.96,
2015-03-17,,,,1499.68,258.68,
2015-03-18,,,,1535.45,261.36,
2015-03-19,,,,1544.85,247.77,
2015-03-20,,,,1575.35,279.32,
2015-03-23,,,,1647.63,329.65,
2015-03-24,,,,1689.53,412.86,
2015-03-25,,,,1706.47,356.96,
2015-03-26,,,,1624.82,332.56,
2015-03-27,,,,1649.0,237.34,
2015-03-30,,,,1623.73,259.39,
2015-03-31,,,,1655.45,294.46,
2015-04-01,,,,1710.14,284.45,
2015-04-02,,,,1764.64,337.72,
2015-04-03,,,,1793.75,285.89,
2015-04-07,,,,1841.37,363.54,
2015-04-08,,,,1810.15,364.01,
2015-04-09,,,,1803.29,347.01,
2015-04-10,,,,1852.14,335.74,
2015-04-13,,,,1882.29,365.24,
2015-04-14,,,,1854.33,288.88,
2015-04-15,,,,1777.09,292.23,
2015-04-16,,,,1797.12,266.25,
2015-04-17,,,,1785.41,274.21,
2015-04-20,,,,1739.55,261.25,
2015-04-21,,,,1821.71,288.06,
2015-04-22,,,,1864.52,327.56,
2015-04-23,,,,1892.63,298.9,
2015-04-24,,,,1910.12,360.23,
2015-04-27,,,,1907.13,310.77,
2015-04-28,,,,1852.29,323.79,
2015-04-29,,,,1904.94,284.14,
2015-04-30,,,,1934.59,320.74,
2015-05-04,,,,1929.89,293.6,
2015-05-05,,,,1891.67,289.52,
2015-05-06,,,,1934.52,344.5,
2015-05-07,,,,1929.76,283.89,
2015-05-08,,,,2080.8,423.76,
2015-05-11,,,,2216.55,515.05,
2015-05-12,,,,2283.32,498.57,
2015-05-13,,,,2265.67,420.47,
2015-05-14,,,,2250.44,364.07,
2015-05-15,,,,2254.09,365.74,
2015-05-18,,,,2368.75,378.79,
2015-05-19,,,,2404.84,408.3,
2015-05-20,,,,2468.69,459.24,
2015-05-21,,,,2588.31,487.84,
2015-05-22,,,,2557.9,511.58,
2015-05-25,,,,2545.12,465.84,
2015-05-26,,,,2665.17,492.36,
2015-05-27,,,,2682.89,592.07,
2015-05-28,,,,2541.14,614.29,
2015-05-29,,,,2618.43,535.35,
2015-06-01,,,,2738.58,470.22,
2015-06-02,,,,2846.12,490.82,
2015-06-03,,,,2844.76,516.76,
2015-06-04,,,,2779.66,460.0,
2015-06-05,,,,2763.9,446.57,
2015-06-08,,,,2656.86,422.55,
2015-06-09,,,,2669.95,325.03,
2015-06-10,,,,2739.89,378.15,
2015-06-11,,,,2783.16,375.54,
2015-06-12,,,,2794.31,390.05,
2015-06-15,,,,2710.24,395.0,
2015-06-16,,,,2587.78,425.61,
2015-06-17,,,,2666.59,346.13,
2015-06-18,,,,2521.81,310.8,
2015-06-19,,,,2355.61,284.04,
2015-06-23,,,,2384.02,329.69,
2015-06-24,,,,2381.66,314.35,
2015-06-25,,,,2261.75,344.27,
2015-06-26,,,,2077.51,252.34,
2015-06-29,,,,1929.31,322.16,
2015-06-30,,,,2050.69,434.3,
2015-07-01,,,,1980.81,458.73,
2015-07-02,,,,1898.89,362.12,
2015-07-03,,,,1834.09,373.06,
2015-07-06,,,,1753.49,437.63,
2015-07-07,,,,1656.02,212.56,
2015-07-08,,,,1646.36,200.59,
2015-07-09,,,,1664.02,94.45,
2015-07-10,,,,1698.05,79.97,
2015-07-13,,,,1795.79,149.67,
2015-07-14,,,,1859.4,201.19,
2015-07-15,,,,1776.7,404.69,
2015-07-16,,,,1785.74,323.76,
2015-07-17,,,,1882.82,339.81,
2015-07-20,,,,1937.31,401.16,
2015-07-21,,,,1969.68,323.36,
2015-07-22,,,,1998.8,374.45,
2015-07-23,,,,2033.73,349.48,
2015-07-24,,,,2012.88,426.31,
2015-07-27,,,,1865.32,462.83,
2015-07-28,,,,1779.9,422.72,
2015-07-29,,,,1867.53,370.01,
2015-07-30,,,,1791.48,386.93,
2015-07-31,,,,1731.68,284.0,
2015-08-03,,,,1618.88,261.69,
2015-08-04,,,,1729.86,297.43,
2015-08-05,,,,1700.03,319.3,
2015-08-06,,,,1692.22,223.09,
2015-08-07,,,,1772.12,305.33,
2015-08-10,,,,1870.46,363.83,
2015-08-11,,,,1855.42,359.31,
2015-08-12,,,,1811.42,264.76,
2015-08-13,,,,1873.79,283.12,
2015-08-14,,,,1876.53,333.67,
2015-08-17,,,,1896.76,300.9,
2015-08-18,,,,1756.58,408.16,
2015-08-19,,,,1825.81,321.67,
2015-08-20,,,,1804.65,397.6,
2015-08-21,,,,1667.73,314.83,
2015-08-24,,,,1524.81,143.76,
2015-08-25,,,,1398.17,146.5,
2015-08-26,,,,1292.7,292.65,
2015-08-27,,,,1315.87,239.98,
2015-08-28,,,,1412.85,276.82,
2015-08-31,,,,1336.57,221.84,
2015-09-01,,,,1247.08,168.86,
2015-09-02,,,,1193.66,197.69,
2015-09-07,,,,1238.86,186.4,
2015-09-08,,,,1319.24,187.55,
2015-09-09,,,,1386.26,297.51,
2015-09-10,,,,1350.37,192.87,
2015-09-11,,,,1394.37,201.7,
2015-09-14,,,,1281.49,210.92,
2015-09-15,,,,1197.0,167.37,
2015-09-16,,,,1291.42,195.98,
2015-09-17,,,,1312.62,275.7,
2015-09-18,,,,1340.34,231.39,
2015-09-21,,,,1409.85,253.08,
2015-09-22,,,,1409.65,277.1,
2015-09-23,,,,1416.92,253.94,
2015-09-24,,,,1423.63,258.72,
2015-09-25,,,,1341.15,221.63,
2015-09-28,,,,1417.78,194.7,
2015-09-29,,,,1383.34,197.31,
2015-09-30,,,,1386.78,137.83,
2015-10-08,,,,1461.07,213.86,
2015-10-09,,,,1490.6,213.47,
2015-10-12,,,,1554.71,270.08,
2015-10-13,,,,1576.58,233.5,
2015-10-14,,,,1542.3,197.55,
2015-10-15,,,,1611.8,240.78,
2015-10-16,,,,1631.51,275.39,
2015-10-19,,,,1610.78,249.23,
2015-10-20,,,,1682.31,294.55,
2015-10-21,,,,1579.63,346.11,
2015-10-22,,,,1650.62,271.28,
2015-10-23,,,,1685.09,305.02,
2015-10-26,,,,1718.4,345.58,
2015-10-27,,,,1731.5,354.06,
2015-10-28,,,,1682.82,323.67,
2015-10-29,,,,1679.7,262.83,
2015-10-30,,,,1688.88,292.44,
2015-11-02,,,,1643.11,274.72,
2015-11-03,,,,1634.34,214.2,
2015-11-04,,,,1737.09,335.84,
2015-11-05,,,,1721.91,381.03,
2015-11-06,,,,1780.19,387.81,
2015-11-09,,,,1836.26,436.9,
2015-11-10,,,,1838.38,361.02,
2015-11-11,,,,1879.14,339.82,
2015-11-12,,,,1863.38,381.43,
2015-11-13,,,,1804.75,308.47,
2015-11-16,,,,1875.44,349.36,
2015-11-17,,,,1836.36,439.77,
2015-11-18,,,,1798.61,287.62,
2015-11-19,,,,1879.96,309.77,
2015-11-20,,,,1916.43,386.4,
2015-11-23,,,,1885.21,341.48,
2015-11-24,,,,1912.24,265.38,
2015-11-25,,,,1946.68,321.54,
2015-11-26,,,,1913.57,320.44,
2015-11-27,,,,1786.99,328.6,
2015-11-30,,,,1787.6,283.07,
2015-12-01,,,,1771.29,202.81,
2015-12-02,,,,1740.37,184.31,
2015-12-03,,,,1796.08,182.27,
2015-12-04,,,,1779.3,194.79,
2015-12-07,,,,1808.41,204.54,
2015-12-08,,,,1787.54,225.6,
2015-12-09,,,,1791.46,217.74,
2015-12-10,,,,1807.94,237.51,
2015-12-11,,,,1798.41,231.24,
2015-12-14,,,,1815.88,219.3,
2015-12-15,,,,1853.63,262.19,
2015-12-16,,,,1859.47,266.84,
2015-12-17,,,,1914.47,334.96,
2015-12-18,,,,1899.52,311.95,
2015-12-21,,,,1909.95,293.47,
2015-12-22,,,,1944.3,298.65,
2015-12-23,,,,1926.19,341.4,
2015-12-24,,,,1917.88,265.78,
2015-12-25,,,,1922.22,227.82,
2015-12-28,,,,1906.99,308.22,
2015-12-29,,,,1914.46,255.68,
2015-12-30,,,,1946.55,316.58,
2015-12-31,,,,1893.18,295.47,
2016-01-04,,,,1723.12,226.59,
2016-01-05,,,,1656.33,321.43,
2016-01-06,,,,1695.77,266.37,
2016-01-07,,,,1542.39,59.06,
2016-01-08,,,,1523.83,252.34,
2016-01-11,,,,1409.15,216.28,
2016-01-12,,,,1430.94,207.48,
2016-01-13,,,,1365.73,171.81,
2016-01-14,,,,1440.95,203.31,
2016-01-15,,,,1391.37,197.41,
2016-01-18,,,,1441.61,194.34,
2016-01-19,,,,1495.98,240.64,
2016-01-20,,,,1469.28,211.45,
2016-01-21,,,,1399.62,192.9,
2016-01-22,,,,1425.41,159.54,
2016-01-25,,,,1433.14,142.15,
2016-01-26,,,,1314.62,166.98,
2016-01-27,,,,1304.97,187.9,
2016-01-28,,,,1231.63,135.66,
2016-01-29,,,,1299.57,162.92,
2016-02-01,,,,1293.65,152.24,
2016-02-02,,,,1365.29,183.5,
2016-02-03,,,,1373.08,178.31,
2016-02-04,,,,1401.92,178.95,
2016-02-05,,,,1374.87,129.42,
2016-02-15,,,,1393.11,143.38,
2016-02-16,,,,1457.67,204.59,
2016-02-17,,,,1476.67,218.81,
2016-02-18,,,,1458.29,206.5,
2016-02-19,,,,1475.47,194.46,
2016-02-22,,,,1502.64,213.57,
2016-02-23,,,,1495.83,229.82,
2016-02-24,,,,1470.43,212.63,
2016-02-25,,,,1344.01,232.12,
2016-02-26,,,,1330.5,173.51,
2016-02-29,,,,1229.24,166.18,
2016-03-01,,,,1261.66,177.66,
2016-03-02,,,,1319.79,197.92,
2016-03-03,,,,1319.38,208.84,
2016-03-04,,,,1248.78,196.7,
2016-03-07,,,,1278.16,141.93,
2016-03-08,,,,1306.89,170.05,
2016-03-09,,,,1284.94,145.51,
2016-03-10,,,,1262.54,139.39,
2016-03-11,,,,1251.98,99.31,
2016-03-14,,,,1323.3,195.26,
2016-03-15,,,,1305.25,158.76,
2016-03-16,,,,1294.62,145.16,
2016-03-17,,,,1354.72,239.59,
2016-03-18,,,,1407.21,306.64,
2016-03-21,,,,1443.69,297.16,
2016-03-22,,,,1434.83,236.38,
2016-03-23,,,,1458.45,232.95,
2016-03-24,,,,1433.72,267.36,
2016-03-25,,,,1427.25,180.45,
2016-03-28,,,,1416.58,200.61,
2016-03-29,,,,1394.12,178.53,
2016-03-30,,,,1453.46,231.5,
2016-03-31,,,,1448.75,235.61,
2016-04-01,,,,1437.27,199.05,
2016-04-05,,,,1477.89,224.9,
2016-04-06,,,,1487.52,246.81,
2016-04-07,,,,1454.36,226.96,
2016-04-08,,,,1441.45,184.13,
2016-04-11,,,,1471.54,203.68,
2016-04-12,,,,1466.64,189.92,
2016-04-13,,,,1484.71,262.33,
2016-04-14,,,,1502.13,190.31,
2016-04-15,,,,1499.24,159.43,
2016-04-18,,,,1469.88,166.78,
2016-04-19,,,,1481.08,153.24,
2016-04-20,,,,1420.88,259.84,
2016-04-21,,,,1397.81,147.1,
2016-04-22,,,,1410.63,126.88,
2016-04-25,,,,1395.32,110.84,
2016-04-26,,,,1410.0,106.47,
2016-04-27,,,,1398.48,122.16,
