date,open,high,low,close,amount_yi,pe
2015-01-01,,,,2273.23,33.55,65.17
2015-01-05,,,,2273.23,33.55,65.17
2015-01-06,,,,2312.82,35.62,66.45
2015-01-07,,,,2307.91,30.96,66.37
2015-01-08,,,,2313.47,29.47,66.92
2015-01-09,,,,2297.11,28.61,66.53
2015-01-12,,,,2276.08,26.99,66.31
2015-01-13,,,,2326.79,31.81,68.18
2015-01-14,,,,2366.04,52.34,69.18
2015-01-15,,,,2393.12,44.1,69.65
2015-01-16,,,,2425.75,49.72,70.26
2015-01-19,,,,2364.7,51.4,68.61
2015-01-20,,,,2456.93,52.32,72.08
2015-01-21,,,,2493.5,57.51,73.02
2015-01-22,,,,2534.85,57.36,73.77
2015-01-23,,,,2531.68,82.73,73.05
2015-01-26,,,,2549.85,68.31,73.76
2015-01-27,,,,2547.13,61.92,73.84
2015-01-28,,,,2536.29,53.04,74.05
2015-01-29,,,,2522.3,42.2,73.95
2015-01-30,,,,2499.92,36.07,73.35
2015-02-02,,,,2504.59,28.14,73.34
2015-02-03,,,,2555.05,44.62,74.97
2015-02-04,,,,2541.72,52.32,74.36
2015-02-05,,,,2513.34,41.71,73.65
2015-02-06,,,,2444.83,36.69,71.77
2015-02-09,,,,2412.98,24.55,70.76
2015-02-10,,,,2447.24,22.74,71.63
2015-02-11,,,,2481.14,26.6,72.64
2015-02-12,,,,2487.21,26.36,72.93
2015-02-13,,,,2531.53,38.83,74.28
2015-02-16,,,,2622.25,70.07,77.34
2015-02-17,,,,2619.79,52.9,77.51
2015-02-25,,,,2612.73,45.87,77.18
2015-02-26,,,,2633.62,44.25,78.06
2015-02-27,,,,2654.77,55.6,78.62
2015-03-02,,,,2729.24,72.52,81.05
2015-03-03,,,,2733.86,84.07,80.43
2015-03-04,,,,2756.65,55.15,81.27
2015-03-05,,,,2781.99,61.4,82.04
2015-03-06,,,,2749.61,66.19,81.27
2015-03-09,,,,2794.42,50.98,82.75
2015-03-10,,,,2837.74,75.82,84.11
2015-03-11,,,,2888.12,80.96,86.13
2015-03-12,,,,2861.18,69.67,85.11
2015-03-13,,,,2890.93,48.65,86.2
2015-03-16,,,,2979.89,75.45,88.88
2015-03-17,,,,3015.02,84.5,89.69
2015-03-18,,,,3098.79,108.34,92.18
2015-03-19,,,,3109.92,100.53,92.3
2015-03-20,,,,3178.74,100.95,94.86
2015-03-23,,,,3293.91,99.49,98.7
2015-03-24,,,,3289.48,105.7,98.79
2015-03-25,,,,3411.13,109.26,103.36
2015-03-26,,,,3324.23,109.11,100.28
2015-03-27,,,,3403.55,87.06,103.53
2015-03-30,,,,3403.17,98.08,103.27
2015-03-31,,,,3471.94,112.44,105.1
2015-04-01,,,,3599.37,132.3,109.17
2015-04-02,,,,3676.69,133.43,111.9
2015-04-03,,,,3757.04,138.12,114.36
2015-04-07,,,,3827.85,125.15,116.33
2015-04-08,,,,3765.95,138.98,114.36
2015-04-09,,,,3666.45,105.61,111.36
2015-04-10,,,,3815.68,96.26,116.47
2015-04-13,,,,3915.01,122.2,119.79
2015-04-14,,,,3893.43,131.84,117.59
2015-04-15,,,,3787.99,129.63,115.42
2015-04-16,,,,3848.42,101.54,117.43
2015-04-17,,,,3820.42,117.1,116.1
2015-04-20,,,,3700.41,120.94,112.31
2015-04-21,,,,3826.37,103.22,115.86
2015-04-22,,,,3897.91,113.69,117.67
2015-04-23,,,,3971.06,103.54,119.97
2015-04-24,,,,4035.59,113.54,123.06
2015-04-27,,,,4066.0,124.76,123.51
2015-04-28,,,,3891.41,115.27,118.36
2015-04-29,,,,4016.27,101.11,113.87
2015-04-30,,,,4014.52,97.52,122.62
2015-05-04,,,,4064.57,90.01,101.23
2015-05-05,,,,3949.95,82.13,82.72
2015-05-06,,,,3934.66,92.57,82.56
2015-05-07,,,,3791.6,69.61,79.73
