date,open,high,low,close,amount_yi,pe
2015-01-01,3566.09,3669.04,3551.51,3641.54,5198.5,14.28
2015-01-05,3566.09,3669.04,3551.51,3641.54,5198.5,14.28
2015-01-06,3608.43,3683.23,3587.23,3641.06,4985.3,14.29
2015-01-07,3620.92,3671.19,3601.7,3643.79,3987.32,14.37
2015-01-08,3650.07,3659.95,3552.1,3559.26,3558.32,14.01
2015-01-09,3547.57,3689.75,3536.4,3546.72,4302.11,13.99
2015-01-12,3531.52,3560.53,3461.32,3513.58,3342.57,13.8
2015-01-13,3506.45,3550.16,3494.77,3514.04,2507.97,13.81
2015-01-14,3522.91,3547.24,3471.56,3502.42,2412.86,13.82
2015-01-15,3501.72,3604.12,3482.27,3604.12,3034.45,14.33
2015-01-16,3616.25,3662.16,3601.26,3635.15,3555.69,14.5
2015-01-19,3414.01,3497.25,3330.98,3355.16,3660.18,13.32
2015-01-20,3336.79,3419.2,3325.68,3396.22,3819.18,13.52
2015-01-21,3420.49,3557.79,3409.43,3548.89,4254.34,14.2
2015-01-22,3551.05,3576.76,3520.05,3567.61,3450.26,14.25
2015-01-23,3582.09,3627.81,3548.63,3571.73,3618.36,14.3
2015-01-26,3580.12,3611.62,3559.38,3607.99,3095.86,14.5
2015-01-27,3614.04,3616.26,3510.02,3574.93,3575.48,14.32
2015-01-28,3547.24,3583.31,3512.39,3525.32,2787.49,14.08
2015-01-29,3474.92,3505.58,3453.9,3481.8,2518.98,13.88
2015-01-30,3496.89,3514.22,3431.94,3434.39,2374.21,13.65
2015-02-02,3360.19,3407.26,3347.09,3353.96,2248.38,13.26
2015-02-03,3388.6,3441.71,3360.72,3437.45,2411.0,13.62
2015-02-04,3446.14,3476.82,3399.57,3401.77,2440.34,13.46
2015-02-05,3487.95,3487.95,3366.86,3366.95,3115.24,13.3
2015-02-06,3352.33,3374.05,3285.94,3312.42,2214.33,13.04
2015-02-09,3305.73,3376.53,3298.6,3345.92,2207.67,13.17
2015-02-10,3345.08,3407.18,3339.55,3406.94,1991.21,13.4
2015-02-11,3415.98,3445.66,3412.14,3434.12,1859.79,13.47
2015-02-12,3435.36,3453.58,3405.63,3442.87,1912.86,13.54
2015-02-13,3458.83,3509.51,3452.08,3469.83,2470.76,13.64
2015-02-16,3473.29,3504.48,3466.61,3499.48,2228.0,13.72
2015-02-17,3511.54,3536.82,3511.09,3522.32,2144.57,13.82
2015-02-25,3529.55,3529.55,3463.96,3478.73,2117.39,13.72
2015-02-26,3473.71,3569.33,3456.87,3566.3,2798.09,14.06
2015-02-27,3565.23,3594.81,3560.46,3572.84,2718.62,14.09
2015-03-02,3603.45,3608.69,3566.53,3601.27,3251.65,14.17
2015-03-03,3579.32,3579.32,3504.2,3507.9,3357.0,13.78
2015-03-04,3514.67,3540.91,3497.17,3530.82,2574.69,13.84
2015-03-05,3513.25,3517.08,3467.68,3496.34,2790.31,13.67
2015-03-06,3501.18,3516.24,3472.39,3478.52,2334.68,13.63
2015-03-09,3449.7,3546.71,3417.49,3537.75,2778.6,13.9
2015-03-10,3523.64,3551.21,3511.99,3520.61,2453.67,13.79
2015-03-11,3524.58,3568.92,3512.22,3524.65,2357.73,13.78
2015-03-12,3557.69,3603.34,3536.53,3592.84,3221.41,14.07
2015-03-13,3604.67,3641.39,3594.74,3617.66,2972.99,14.15
2015-03-16,3641.77,3705.74,3621.12,3705.67,3584.98,14.44
2015-03-17,3733.96,3762.58,3716.81,3757.12,4550.04,14.65
2015-03-18,3769.09,3846.06,3763.85,3846.06,4844.66,14.99
2015-03-19,3851.25,3859.13,3809.71,3839.74,4632.13,14.97
2015-03-20,3852.49,3916.86,3832.42,3892.57,5444.68,15.13
2015-03-23,3923.08,3972.3,3922.21,3972.06,5197.6,15.42
2015-03-24,3980.07,3989.86,3883.78,3973.05,5910.67,15.44
2015-03-25,3961.58,3980.72,3913.99,3940.41,5017.34,15.26
2015-03-26,3921.75,3992.0,3892.88,3950.0,4685.38,15.37
2015-03-27,3957.54,3993.03,3932.87,3971.7,3931.32,15.4
2015-03-30,3999.02,4101.65,3999.02,4088.18,5462.11,15.85
2015-03-31,4138.89,4166.02,4037.77,4051.2,5981.22,15.69
2015-04-01,4057.5,4139.5,4046.94,4123.9,4665.97,15.94
2015-04-02,4149.95,4156.84,4068.65,4124.78,4766.18,15.94
2015-04-03,4104.67,4170.56,4092.38,4170.54,4669.66,16.06
2015-04-07,4213.89,4260.47,4197.02,4260.04,5646.46,16.45
2015-04-08,4277.45,4304.78,4204.83,4295.8,6583.08,16.62
2015-04-09,4316.96,4332.17,4212.61,4262.14,6504.19,16.47
2015-04-10,4249.38,4351.69,4231.2,4344.42,5093.54,16.76
2015-04-13,4394.05,4432.02,4361.59,4421.07,5985.18,17.11
2015-04-14,4432.13,4474.35,4385.91,4438.18,6021.27,17.14
2015-04-15,4439.31,4476.0,4379.61,4380.51,5968.23,16.99
2015-04-16,4355.49,4513.77,4335.63,4513.55,5647.23,17.49
2015-04-17,4578.68,4630.27,4553.9,4596.14,7339.54,17.87
2015-04-20,4615.03,4671.17,4492.6,4521.92,9392.65,17.57
2015-04-21,4520.46,4620.06,4504.56,4619.16,6853.65,17.86
2015-04-22,4637.06,4740.93,4632.59,4739.81,7699.25,18.3
2015-04-23,4764.48,4782.04,4693.97,4740.89,7522.58,18.33
2015-04-24,4682.63,4730.43,4618.32,4702.64,7212.73,18.21
2015-04-27,4753.87,4810.49,4735.31,4807.59,7659.1,18.78
2015-04-28,4811.32,4839.08,4703.57,4741.86,8603.5,18.6
2015-04-29,4722.9,4797.93,4695.79,4774.33,6016.76,18.54
2015-04-30,4788.41,4818.73,4749.49,4749.89,6125.11,18.37
2015-05-04,4757.64,4795.92,4699.4,4787.74,5654.53,18.57
2015-05-05,4785.19,4785.19,4572.98,4596.84,6600.2,17.71
2015-05-06,4626.23,4700.91,4511.76,4553.33,5860.34,17.47
2015-05-07,4520.82,4546.34,4467.46,4470.09,4271.9,17.07
2015-05-08,4515.55,4559.06,4445.59,4558.4,4520.91,17.42
2015-05-11,4582.09,4690.95,4535.15,4690.53,5832.6,17.88
2015-05-12,4692.12,4748.0,4660.02,4747.42,6071.23,18.08
2015-05-13,4746.71,4758.0,4678.85,4718.44,5904.8,17.99
2015-05-14,4717.96,4735.28,4670.17,4700.78,5132.2,17.93
2015-05-15,4690.76,4690.76,4592.05,4617.47,5066.95,17.6
2015-05-18,4582.06,4623.38,4565.06,4575.14,4340.83,17.4
2015-05-19,4577.64,4740.01,4577.64,4731.22,5242.32,17.97
2015-05-20,4751.57,4843.1,4745.21,4754.92,5899.56,17.99
2015-05-21,4768.69,4841.62,4746.03,4840.98,5053.46,18.41
2015-05-22,4895.93,4951.99,4870.6,4951.34,7191.3,18.86
2015-05-25,4949.11,5099.84,4949.11,5099.5,7570.86,19.44
2015-05-26,5140.8,5199.3,5063.15,5198.92,8022.96,19.74
2015-05-27,5216.17,5226.84,5126.86,5181.43,7778.26,19.72
2015-05-28,5174.1,5213.18,4831.33,4834.01,8732.07,18.35
2015-05-29,4839.53,4924.3,4665.52,4840.83,6360.08,18.36
2015-06-01,4862.76,5079.32,4835.77,5076.18,6378.44,19.24
2015-06-02,5091.27,5162.56,5047.08,5161.87,6584.53,19.49
2015-06-03,5176.6,5186.97,5059.5,5143.59,6720.57,19.42
2015-06-04,5156.01,5194.23,4863.47,5181.42,7351.71,19.6
2015-06-05,5254.91,5288.34,5104.18,5230.55,8552.24,19.81
2015-06-08,5259.41,5370.61,5202.59,5353.75,9494.98,20.38
2015-06-09,5379.47,5380.43,5251.21,5317.46,8714.32,20.25
2015-06-10,5254.3,5374.83,5209.68,5309.11,7115.09,20.06
2015-06-11,5305.14,5329.3,5248.16,5306.59,6605.85,20.0
2015-06-12,5329.28,5351.65,5283.09,5335.12,6942.13,20.1
2015-06-15,5354.01,5362.45,5207.31,5221.17,7662.38,20.14
2015-06-16,5165.02,5204.3,5015.26,5064.82,6515.23,19.49
2015-06-17,5072.31,5158.37,4949.29,5138.83,5898.68,19.79
2015-06-18,5107.69,5121.22,4926.43,4930.55,5556.47,18.97
2015-06-19,4847.06,4910.45,4634.69,4637.05,5196.1,17.85
