date,open,high,low,close,amount_yi,pe
2015-01-01,2699.49,2708.57,2622.15,2695.17,106.03,
2015-01-05,2699.49,2708.57,2622.15,2695.17,106.03,
2015-01-06,2684.93,2811.82,2684.93,2811.29,108.26,
2015-01-07,2801.86,2831.04,2792.31,2821.19,96.54,
2015-01-08,2815.92,2870.49,2815.92,2840.92,100.22,
2015-01-09,2823.9,2894.94,2823.9,2842.99,94.29,
2015-01-12,2826.67,2898.38,2826.67,2877.7,81.41,
2015-01-13,2884.41,2991.48,2884.41,2978.15,85.53,
2015-01-14,2971.19,2992.84,2952.97,2962.48,77.24,
2015-01-15,2953.3,2999.93,2953.3,2977.48,66.8,
2015-01-16,2972.32,3101.9,2972.32,3101.9,78.95,
2015-01-19,3053.37,3154.44,3015.22,3045.81,119.28,
2015-01-20,3062.38,3174.37,3062.38,3174.37,101.98,
2015-01-21,3179.78,3198.73,3160.99,3197.63,99.48,
2015-01-22,3198.66,3213.26,3182.54,3199.34,85.93,
2015-01-23,3195.57,3195.57,3113.24,3118.3,87.54,
2015-01-26,3142.35,3229.77,3142.35,3229.67,86.57,
2015-01-27,3233.58,3258.63,3196.5,3253.86,92.36,
2015-01-28,3242.94,3300.19,3229.25,3239.16,81.04,
2015-01-29,3214.47,3253.01,3213.87,3236.94,67.18,
2015-01-30,3249.94,3249.94,3154.74,3155.78,69.0,
2015-02-02,3127.31,3206.0,3127.31,3188.37,58.26,
2015-02-03,3197.92,3310.75,3197.92,3277.67,93.06,
2015-02-04,3283.41,3310.33,3279.14,3289.96,78.77,
2015-02-05,3286.42,3366.47,3279.43,3286.45,96.14,
2015-02-06,3299.6,3303.04,3217.28,3219.5,76.37,
2015-02-09,3218.92,3263.36,3192.79,3199.91,60.91,
2015-02-10,3200.41,3270.46,3174.33,3270.46,57.83,
2015-02-11,3280.07,3356.66,3280.07,3354.09,92.28,
2015-02-12,3365.53,3404.69,3363.61,3371.83,114.38,
2015-02-13,3383.85,3421.07,3369.22,3417.4,119.34,
2015-02-16,3419.99,3547.56,3412.53,3547.56,153.31,
2015-02-17,3576.19,3576.19,3520.92,3550.67,138.46,
2015-02-25,3573.91,3573.91,3466.18,3474.78,91.75,
2015-02-26,3486.17,3506.45,3422.72,3487.85,97.62,
2015-02-27,3485.22,3593.31,3485.22,3593.31,135.06,
2015-03-02,3598.66,3690.06,3575.47,3676.27,133.85,
2015-03-03,3648.31,3657.78,3592.54,3592.54,117.49,
2015-03-04,3588.05,3669.09,3588.05,3651.16,101.0,
2015-03-05,3651.3,3651.3,3604.25,3610.94,101.31,
2015-03-06,3613.27,3625.0,3537.79,3539.73,78.83,
2015-03-09,3524.99,3620.02,3524.99,3620.02,89.73,
2015-03-10,3618.8,3658.55,3613.54,3644.43,78.99,
2015-03-11,3649.48,3649.48,3599.81,3624.51,81.68,
2015-03-12,3637.06,3661.87,3570.52,3619.3,80.06,
2015-03-13,3646.55,3743.71,3639.39,3743.71,90.06,
2015-03-16,3818.67,3911.41,3818.67,3908.18,149.18,
2015-03-17,3965.79,3998.54,3923.9,3968.56,148.98,
2015-03-18,3992.73,4063.72,3937.51,4058.14,159.86,
2015-03-19,4063.9,4068.15,4009.97,4057.22,145.44,
2015-03-20,4064.59,4238.09,4064.59,4203.74,181.84,
2015-03-23,4244.08,4381.01,4244.08,4378.65,196.41,
2015-03-24,4400.97,4474.09,4275.84,4460.56,231.68,
2015-03-25,4468.2,4533.26,4462.46,4467.09,214.03,
2015-03-26,4418.26,4418.26,4201.27,4224.15,192.05,
2015-03-27,4188.73,4271.95,4188.73,4271.88,125.62,
2015-03-30,4261.1,4270.51,4144.44,4201.71,155.97,
2015-03-31,4200.36,4300.8,4195.15,4262.82,152.45,
2015-04-01,4244.94,4373.22,4243.26,4359.55,177.43,
2015-04-02,4375.48,4435.4,4343.63,4433.63,198.82,
2015-04-03,4400.19,4469.12,4391.07,4468.8,165.3,
2015-04-07,4494.96,4560.66,4494.96,4557.74,201.97,
2015-04-08,4561.62,4561.62,4377.82,4464.65,214.98,
2015-04-09,4451.67,4464.02,4238.47,4446.25,180.56,
2015-04-10,4419.22,4571.91,4419.22,4550.06,172.59,
2015-04-13,4582.14,4654.63,4562.83,4616.58,194.09,
2015-04-14,4627.38,4627.38,4524.13,4533.99,160.68,
2015-04-15,4527.74,4527.74,4362.61,4362.61,162.79,
2015-04-16,4344.22,4495.87,4344.22,4467.83,185.55,
2015-04-17,4516.3,4516.3,4432.19,4464.14,224.3,
2015-04-20,4442.26,4496.11,4377.34,4395.6,260.92,
2015-04-21,4418.84,4670.94,4418.84,4670.94,270.81,
2015-04-22,4736.93,4857.82,4736.93,4790.62,258.35,
2015-04-23,4797.93,4961.28,4765.86,4961.28,250.27,
2015-04-24,4902.44,5168.79,4902.44,5141.07,383.69,
2015-04-27,5218.61,5263.07,5124.54,5133.36,314.94,
2015-04-28,5074.25,5084.81,4870.81,4927.05,334.59,
2015-04-29,4886.31,5129.03,4886.31,5129.03,254.9,
2015-04-30,5151.5,5233.17,5146.2,5149.18,269.58,
2015-05-04,5136.17,5185.32,5044.51,5163.23,252.29,
2015-05-05,5139.07,5154.55,4988.85,5023.39,229.93,
2015-05-06,5042.18,5272.81,5042.18,5117.06,249.21,
